class,051A,058A,060A,066A,067A,080A,082A,084A,087A,096A,102A,104A,108A,110A,116A,117A,118A,123A,125A,127A,128A,131A,132A,136A,139A,143A,144A,147A,150A,152A,153A,154A,159A,160A,164A,169A,214A,216A,230A,231A,232A,236A,240A,251A,255A,257A,262A,263A
Romboutsia,0,0,0,0,3,0,0,0,0,0,7,12,168,17,0,6,0,0,0,0,0,225,19,0,9,1,2,14,0,0,0,0,0,0,0,1,0,96,9,4,0,3,0,23,8,2,0,11
Roseburia,0,0,0,0,0,1,0,0,9,37,0,0,29,29,423,354,25,25,34,605,672,22,72,21,16,0,17,3,0,120,71,0,0,0,33,20,64,26,0,0,0,0,0,18,47,122,50,107
Ruminiclostridium,0,1,0,0,0,0,1,0,0,0,0,0,27,12,281,186,24,5,12,284,390,29,15,44,73,26,38,23,0,116,0,21,23,0,3,0,4,0,0,0,5,5,3,7,16,5,9,19
Ruminiclostridium_5,0,0,0,0,0,0,6,0,0,0,0,0,2,4,106,45,0,9,0,121,20,10,20,4,6,4,0,2,0,0,1,14,2,0,0,0,0,0,0,0,5,0,0,1,12,22,9,5
Ruminiclostridium_9,0,0,0,0,0,0,31,0,98,85,0,0,7,0,122,55,10,10,16,96,142,7,15,32,79,19,19,28,0,39,42,32,26,139,92,133,54,0,0,0,0,0,0,4,34,4,22,27
Ruminococcaceae_UCG_009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,3,5,1,11,11,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,10
Ruminococcaceae_UCG_010,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,2,1,6,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,3,0,0,6
Staphylococcus,4,8,2,0,0,108,82,116,21,11,0,22,0,0,0,0,0,0,0,1,0,0,0,0,4,6,12,20,25,10,3,102,24,0,0,0,47,403,4,0,0,3,44,10,40,114,86,85
Streptococcus,103,319,60,0,9,539,479,158,921,311,534,856,7,5,2,6,0,0,0,1,0,0,2,0,35,18,14,30,238,168,220,53,12,76,60,201,277,93,520,652,493,412,591,157,211,528,138,124
Turicibacter,0,0,0,0,0,0,0,10,0,0,0,16,140,3,0,51,7,7,93,0,0,2038,62,48,1,2,6,0,12,3,5,0,0,1,0,0,0,47,0,0,0,0,0,0,2,0,0,0
Tyzzerella,0,0,0,0,0,14,0,0,0,0,0,0,0,0,12,1,3,1,0,11,1,0,0,0,39,16,12,0,0,0,0,11,5,0,12,12,1,18,0,8,0,0,0,0,0,0,0,6
DOL,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,P28,P28,P28,P28,P28,P28,P28,P28,P28,P28,P28,P28,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P14,P11,P11,P11,P11,P11,P11,P11,P14,P14,P14,P14,P14
sample,051A,058A,060A,066A,067A,080A,082A,084A,087A,096A,102A,104A,108A,110A,116A,117A,118A,123A,125A,127A,128A,131A,132A,136A,139A,143A,144A,147A,150A,152A,153A,154A,159A,160A,164A,169A,214A,216A,230A,231A,232A,236A,240A,251A,255A,257A,262A,263A
