"class","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
"Clostridium_sensu_stricto_1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  3","  0","  8"," 70"," 16","  0","  0","  0","  0","  0"," 46","  3","213","  5","328","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 20","  0","  0"," 80","  0"," 24"," 35"," 44"," 23","128"," 12"," 27","  3"," 12","  4"
"Corynebacterium_1","  8","  1","  4","  4","  0","  3"," 12","  8"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  7","  4","  0","  0"," 10","  0","  0","  0"," 23","  5","  0","274","  0","122","  9","265"," 37","172","  0","  0","  0","  0","  0"
"Distigma","19"," 9"," 0"," 1"," 2","31","29","10","13"," 0","18"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","11"," 6","14"," 7","44","19","21","17"," 5","33"," 2","25"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"DNF00809"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13"," 6","25","20","36"," 5"," 0"," 4","51"," 4"," 4","32"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Dysgonomonas"," 11","  7","  5","  3","  1","  5"," 32"," 37"," 13","  7","  2","  0","  0","  1","  0","  2","  0","  0","  0","  0","  1","  1","  0","  0","  5","  2"," 11","  1"," 55","  3"," 49"," 38","  9"," 11"," 11"," 33","239","  0","124","126","173"," 91","304","  0","  2","  0","  4","  0"
"Empedobacter"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0","18"," 0"," 0"," 0"," 0"," 0","56"," 0","41","33","66","42","81"," 2"," 0"," 0"," 0"," 0"
"Enterococcus","185","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","171","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 10","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21"," 28","670"," 70"," 28"," 39"," 17"," 46","  0","  0","  0","  0","  0"
"Enterorhabdus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","35","17","65","38","42","22"," 1","24","96","22"," 6","35"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Erysipelatoclostridium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 3"," 4"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 5","18"," 9"," 0"," 0"," 6"," 0"," 0"," 0"
"Escherichia_Shigella","7151","4462","1980","   5","   3","   7","  35","  57","   0","   2","  13"," 294","   0","   5","   3","   0","   0","   0","   0","   2","   4","   0","   0","   0","   7","2859","1174","   3","  59","   3","  16","   0","1388","  11","   5","  19","  50","2665"," 159","  46","  48","  19"," 117","   6","   0","   8","   8","   0"
"Flectobacillus"," 0"," 2"," 0"," 7"," 0"," 8"," 2","22"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 4"," 0"," 0","11"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Fusobacterium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0","15"," 0","31","81","83"," 2","24","15","10"," 0"," 1"," 0"
"Gemella"," 22"," 18","  1","  5","  3"," 11"," 54","112"," 17","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5"," 20","  3","  4"," 16","  1"," 21"," 37","  3","  0"," 14"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Klebsiella","   1","   0","   0","   0","   0","   0","   0"," 305","   0","1700","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","1037","   0","   0","  53","   0","  63","  49","  81","  27","  81","   0","   0","   0","   0","   0"
"Lachnoclostridium","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 66"," 37","173"," 67"," 53"," 21","  4"," 12","168"," 19"," 11"," 70","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","104","  0","  2"," 22","  0"," 12","  0","  0","  0","  0","  0"
"Lachnospiraceae_FCS020_group"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 3"," 0"," 0"," 0"," 3","21"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0","20"," 0","32"," 2","14"," 0"," 2"," 0"
"Lachnospiraceae_NK4A136_group"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","113"," 39"," 99"," 40"," 17"," 17"," 24"," 10","  5","171"," 17","  2"," 29","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  7"," 75","  0","  1"," 26"," 15"," 29","  8"," 46","  1","  0","  0"
"Lachnospiraceae_UCG_006"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","12"," 6"," 0","64"," 8"," 5"," 3"," 0"," 5","64","21"," 3","31"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","59"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Lactobacillus"," 412","2949","6163","7543","7844","4582","4098","5014","7759","6150","5764","6661","4477","5635","4952","4155","5992","6732","8196","7771","4401","3907","7079","5629","6884","5253","6864","8082","7311","8088","7085","4396","5147","5930","7877","7949"," 428","1344","4502","3501","3084","3683","2467","7315","7453","6894","7978","7241"
"Marvinbryantia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0","17"," 4"," 3"," 3"," 0"," 3","27"," 4"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 9","15"," 7"," 4"," 0"," 0"," 0"
"Muribacter","   2","  46","  18"," 798"," 526","3003","3353","1508"," 337"," 385","2219"," 601","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1094","  51"," 185"," 124"," 217","  41"," 384","3054"," 270"," 952"," 320","   7","3855","   9","1366","2247","1553","2477"," 791","  91","  57"," 863","  71","  26"
"Not_Assigned","  15","  10","   2","   9","   2","  45","  64","  72","   8","   3","  24"," 226","2694","2045","2679","1239","1188"," 912"," 112"," 494","3335","1645","1131","1587"," 109","   9","  65","  36","  51","  31","  60"," 118","1190","  39","  11","  39"," 343"," 824"," 223"," 218"," 334"," 181"," 481"," 157"," 165","  11","   9","  12"
"Odoribacter","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   4","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 163","   0","   0","   0","   0","2391","   3","   0","  15","   5","   9","   5","  15","   0","   1","   0"
"Oscillibacter"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 4"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 4","17"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0","22","85"," 4"," 8","18","21","14"," 0"," 4"," 0"," 0"," 0"
"Parasutterella"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 6","13"," 1"," 1"," 1"," 1"," 1","20","28","26","33"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6","13","14"," 7","15"," 0"," 0"," 0"," 0"," 2"
"Phascolarctobacterium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7","21"," 0","29","16","55","16","54"," 7"," 7"," 0"," 8"," 0"
"Phyllobacterium","113","154"," 81"," 36"," 29","373","285","363"," 74"," 57"," 50","  1","  0","  3","  0","  1","  1","  3","  0","  2","  1","  0","  0","  1"," 16"," 19","  8","  2"," 29"," 20","  0"," 74"," 14"," 27"," 21"," 66","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Porphyromonas"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0","10"," 0"," 0","16"," 0"," 0"," 0"," 0","16"," 0","19"," 4","15","14","14"," 0"," 0"," 0"," 0"," 0"
"Pseudomonas","444","236"," 78"," 53"," 42","261","311","554"," 43"," 50","225","  7","  3","  3","  2","  9","  1","  3"," 15","  0","  4","  5","  4","  3"," 42","138"," 60"," 98","249","122","470","253"," 73","135"," 83","182","589","  0","172","194","347","126","727","  0"," 11","  0","  0","  0"
"Rikenellaceae_RC9_gut_group","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 24","  5","  0","  0","  0","  0"," 22"," 14"," 80","  7","  0","  0"," 84","  0","101"," 28"," 32"," 25","114"," 11"," 21","  2","  1","  0"
"Romboutsia","  0","  5","  0","  0","  0","  6","  0","  0","  0","  0","  1"," 10","227","  2","  0","  0","  0","  0","  3"," 77"," 14","294","  9"," 32","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","113","  0"," 54"," 64"," 99"," 52","135"," 26","  8","  2","  5","  0"
"Roseburia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 9"," 2","10"," 8"," 1"," 0"," 4"," 6","26"," 3"," 0"," 3","12"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8","43"," 0"," 0","12"," 5"," 0"," 0"," 6"," 0"," 2"," 0"
"Ruminiclostridium_5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14","10"," 3"," 0"," 0"," 4","22"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 5"," 0","13"," 0"," 8"," 0"," 0"," 0"," 0"," 0"
"Ruminobacter","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 78","  0","  0"," 45","103"," 19"," 66"," 13"," 41","  5","  7","  0"
"Ruminococcaceae_UCG_005","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","380","  6","136","183","282","175","369"," 48","107"," 17"," 19"," 17"
"Ruminococcaceae_UCG_010","  4","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 13","  0","  0"," 14","  0","  0","  0","  0"," 93","  0"," 44"," 22"," 73"," 37","149","  5","  6","  1","  4","  4"
"Ruminococcaceae_UCG_014"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","18"," 0"," 5","14","32"," 8","11"," 0"," 0"," 0"," 7"," 0"
"Ruminococcus_2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0","66"," 0"," 4","50","44","15","48"," 2"," 5"," 0"," 0"," 0"
"Sphingomonas"," 2"," 0"," 0"," 0"," 0"," 9","11"," 0"," 1"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 6"," 0"," 0"," 0"," 2"," 0"," 0"," 0"
"Staphylococcus"," 21","  7","  5","  2","  2"," 17"," 65"," 92"," 12"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","141"," 27","  9"," 17"," 69"," 10"," 65"," 57"," 23"," 26","  0"," 19"," 68","113"," 60"," 39","119"," 79"," 57"," 19","  8"," 58"," 80","582"
"Streptococcus"," 35","541","124","  7"," 18"," 94"," 85","247","171"," 64","133","369","  5"," 14","  7"," 11","  7","  4"," 35","  1"," 14","  3","  1","  6"," 52"," 61"," 40"," 44","194"," 77","190","299"," 20","165","110"," 64"," 12"," 80","235","452"," 29","407"," 40","487","127","574","206","525"
"Succinivibrio","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","118","  0"," 80"," 83","123"," 58","126","100","140"," 21"," 18"," 32"
"Treponema_2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","121","  0"," 55"," 29","106"," 29","167"," 11"," 13","  4","  0","  6"
"Turicibacter","   0","   9","   8","   1","   0","   4","   4","   0","   0","   6","  10","   2"," 360","  14","   0","   1","   8","  12","  78","  14","   2","1908","  48","  79","  17","   0","  21","  33","  65","  19","  18","   0","   0","  24","   0","   0","  39","   0","  21","  47","  26","  16","  56","   9","  14","   0","   0","   0"
"Vagococcus","  0","  3","  0","  0","  0","  0"," 15","  9","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0"," 12","  7","  0","  2","  0"," 73","  0"," 50"," 74"," 65"," 49","126","  0","  5","  0","  0","  0"
"Veillonella","13"," 0"," 2"," 0"," 1"," 0"," 0","59"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 1"," 0"," 6","35","13","41"," 0"," 0"," 0"," 8"," 8"," 5"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0"," 0"," 0"," 0"
"Weissella","  0"," 11","  0","  0","  1","  0","  7","  7","  4","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  6","  2"," 22","  0","  0","  8","  6","  2","  3","  4","169","  0","111"," 90","174","151","192","  7"," 19","  0","  0","  0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14"
"sample","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
