	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B
Lachnospiraceae	12870.01287	38610.03861	0	0	0	34320.03432	4290.00429	25740.02574	8580.00858	0	4290.00429	8580.00858	0	0	0	0	0	0	0	98670.09867	132990.133	0	0	0	0	0	8580.00858	0	0	0	0	411840.4118	94380.09438	77220.07722	34320.03432	4290.00429	38610.03861	90090.09009	4290.00429	12870.01287	694980.695	90090.09009	253110.2531	154440.1544	0	17160.01716
Bacteroides	0	0	0	4290.00429	0	0	0	0	0	0	4290.00429	0	8580.00858	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	34320.03432	0	0	0	0	175890.1759	60060.06006	55770.05577	72930.07293	77220.07722	81510.08151	68640.06864	21450.02145	30030.03003	583440.5834	77220.07722	120120.1201	51480.05148	25740.02574	12870.01287
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102960.103	257400.2574	137280.1373	94380.09438	132990.133	55770.05577	25740.02574	72930.07293	175890.1759	150150.1502	51480.05148	115830.1158	124410.1244	77220.07722	77220.07722
Turicibacter	12870.01287	8580.00858	0	17160.01716	0	12870.01287	0	0	42900.0429	85800.0858	38610.03861	98670.09867	30030.03003	34320.03432	34320.03432	0	0	0	0	51480.05148	0	38610.03861	0	0	0	0	0	8580.00858	0	0	0	12870.01287	4290.00429	4290.00429	0	0	12870.01287	12870.01287	4290.00429	4290.00429	98670.09867	4290.00429	0	0	0	0
Parabacteroides	4290.00429	0	0	0	0	0	0	12870.01287	0	0	0	0	51480.05148	0	0	0	0	0	0	0	0	0	30030.03003	0	0	0	4290.00429	0	0	0	0	141570.1416	8580.00858	8580.00858	0	0	0	0	0	0	270270.2703	30030.03003	115830.1158	51480.05148	0	0
Phyllobacterium	30030.03003	25740.02574	60060.06006	42900.0429	12870.01287	25740.02574	42900.0429	38610.03861	4290.00429	42900.0429	30030.03003	47190.04719	8580.00858	34320.03432	0	60060.06006	72930.07293	25740.02574	8580.00858	429000.429	12870.01287	30030.03003	47190.04719	30030.03003	47190.04719	34320.03432	30030.03003	30030.03003	21450.02145	21450.02145	72930.07293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223080.2231	0	0	0	0	0	0	0	0	0	0	72930.07293	0	4290.00429	0	0	4290.00429	12870.01287	0	0	72930.07293	21450.02145	42900.0429	34320.03432	4290.00429	0
Rikenellaceae_RC9_gut_group	21450.02145	0	12870.01287	8580.00858	4290.00429	0	0	0	0	0	0	0	0	0	34320.03432	4290.00429	0	0	12870.01287	38610.03861	77220.07722	8580.00858	0	8580.00858	0	0	0	4290.00429	0	0	0	25740.02574	25740.02574	25740.02574	12870.01287	30030.03003	81510.08151	30030.03003	0	4290.00429	145860.1459	17160.01716	17160.01716	21450.02145	0	0
Alistipes	4290.00429	17160.01716	0	0	0	8580.00858	0	4290.00429	4290.00429	0	0	12870.01287	4290.00429	0	0	0	0	0	0	0	77220.07722	0	0	25740.02574	0	0	17160.01716	0	0	0	4290.00429	42900.0429	8580.00858	42900.0429	17160.01716	17160.01716	8580.00858	8580.00858	8580.00858	0	90090.09009	0	4290.00429	8580.00858	0	12870.01287
Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	12870.01287	0	8580.00858	0	8580.00858	4290.00429	0	55770.05577	4290.00429	0	4290.00429	0	0
Clostridium_sensu_stricto_1	0	0	0	12870.01287	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	4290.00429	30030.03003	4290.00429	0	12870.01287	0	0	30030.03003	0	0	0	25740.02574	21450.02145	12870.01287	30030.03003	30030.03003	25740.02574	42900.0429	8580.00858	0	90090.09009	0	17160.01716	17160.01716	12870.01287	0
Romboutsia	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	0	0	0	0	0	0	0	4290.00429	0	0	0	0	38610.03861	12870.01287	21450.02145	17160.01716	21450.02145	17160.01716	12870.01287	4290.00429	8580.00858	175890.1759	0	30030.03003	8580.00858	0	0
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	12870.01287	17160.01716	8580.00858	4290.00429	0	0	17160.01716	0	4290.00429	38610.03861	0	17160.01716	0	0	4290.00429
Ruminococcaceae	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	111540.1115	0	0	12870.01287	0	0	8580.00858	0	0	0	0	30030.03003	0	8580.00858	0	0	8580.00858	42900.0429	0	0	193050.1931	0	30030.03003	0	0	0
Roseburia	8580.00858	8580.00858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	38610.03861	0	4290.00429	0	0	8580.00858	4290.00429	0	4290.00429	0	17160.01716	0	0	0
Dysgonomonas	4290.00429	38610.03861	0	4290.00429	0	8580.00858	25740.02574	8580.00858	0	0	8580.00858	60060.06006	17160.01716	0	42900.0429	55770.05577	21450.02145	0	34320.03432	64350.06435	8580.00858	8580.00858	17160.01716	72930.07293	21450.02145	8580.00858	4290.00429	4290.00429	4290.00429	4290.00429	38610.03861	21450.02145	0	0	4290.00429	4290.00429	0	4290.00429	0	0	180180.1802	8580.00858	12870.01287	0	4290.00429	0
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115830.1158	42900.0429	98670.09867	42900.0429	154440.1544	132990.133	197340.1973	77220.07722	25740.02574	137280.1373	8580.00858	17160.01716	55770.05577	34320.03432	12870.01287
Clostridiales_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	4290.00429	8580.00858	4290.00429	0	47190.04719	8580.00858	4290.00429	8580.00858	0	0
Weissella	0	0	17160.01716	4290.00429	0	4290.00429	0	4290.00429	0	0	17160.01716	17160.01716	0	0	0	12870.01287	34320.03432	8580.00858	21450.02145	0	12870.01287	0	0	4290.00429	8580.00858	4290.00429	0	8580.00858	0	0	0	12870.01287	4290.00429	0	8580.00858	17160.01716	0	21450.02145	4290.00429	0	210210.2102	12870.01287	42900.0429	0	0	0
Ruminococcaceae_UCG_005	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141570.1416	85800.0858	72930.07293	64350.06435	124410.1244	21450.02145	124410.1244	21450.02145	17160.01716	381810.3818	21450.02145	55770.05577	47190.04719	30030.03003	12870.01287
Arcobacter	0	0	0	0	0	0	17160.01716	0	0	0	0	4290.00429	0	12870.01287	0	8580.00858	0	0	0	0	0	0	0	12870.01287	0	0	0	8580.00858	0	0	0	0	8580.00858	0	0	8580.00858	17160.01716	0	0	0	175890.1759	21450.02145	12870.01287	8580.00858	4290.00429	0
Corynebacterium_1	0	0	8580.00858	12870.01287	4290.00429	8580.00858	0	30030.03003	0	60060.06006	0	0	0	8580.00858	0	0	0	0	0	47190.04719	0	21450.02145	0	25740.02574	8580.00858	8580.00858	0	0	0	0	0	0	0	0	0	0	30030.03003	0	0	0	94380.09438	0	12870.01287	0	0	0
Acinetobacter	17160.01716	0	4290.00429	0	12870.01287	0	4290.00429	12870.01287	0	0	0	0	0	4290.00429	12870.01287	30030.03003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	34320.03432	21450.02145	12870.01287	30030.03003	12870.01287	12870.01287	12870.01287	0	0	210210.2102	42900.0429	8580.00858	0	4290.00429	0
Burkholderiaceae	0	4290.00429	0	0	0	0	0	0	0	0	17160.01716	0	4290.00429	0	0	25740.02574	0	0	0	0	0	0	21450.02145	4290.00429	0	0	0	0	4290.00429	17160.01716	0	0	0	0	0	8580.00858	0	8580.00858	0	0	51480.05148	17160.01716	0	0	0	0
Gemella	0	64350.06435	12870.01287	0	21450.02145	4290.00429	34320.03432	34320.03432	8580.00858	107250.1073	21450.02145	8580.00858	8580.00858	0	34320.03432	47190.04719	0	12870.01287	0	68640.06864	0	0	0	42900.0429	0	0	4290.00429	0	4290.00429	17160.01716	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	38610.03861	21450.02145	4290.00429	8580.00858	17160.01716	21450.02145	17160.01716	0	60060.06006	8580.00858	21450.02145	0	0	0
Vagococcus	0	4290.00429	0	0	0	0	0	0	0	4290.00429	12870.01287	0	0	4290.00429	0	17160.01716	0	0	0	68640.06864	8580.00858	0	0	0	0	8580.00858	0	0	0	4290.00429	0	0	0	0	12870.01287	0	17160.01716	12870.01287	0	0	77220.07722	0	0	0	0	0
Treponema_2	0	0	0	0	0	0	0	0	0	21450.02145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47190.04719	8580.00858	4290.00429	0	12870.01287	68640.06864	25740.02574	0	0	150150.1502	0	21450.02145	0	0	8580.00858
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	8580.00858	0	0	0	0	68640.06864	8580.00858	4290.00429	0	4290.00429	0
Euglenida	21450.02145	21450.02145	12870.01287	25740.02574	4290.00429	17160.01716	25740.02574	12870.01287	17160.01716	34320.03432	55770.05577	34320.03432	4290.00429	25740.02574	25740.02574	34320.03432	34320.03432	17160.01716	30030.03003	197340.1973	8580.00858	47190.04719	12870.01287	34320.03432	17160.01716	0	21450.02145	0	8580.00858	17160.01716	17160.01716	21450.02145	4290.00429	0	0	0	0	0	0	0	8580.00858	0	4290.00429	0	0	0
Ruminobacter	0	0	8580.00858	0	0	0	0	12870.01287	0	0	0	0	0	0	0	0	0	0	0	21450.02145	0	0	0	0	0	0	0	0	0	0	0	8580.00858	17160.01716	17160.01716	17160.01716	38610.03861	21450.02145	72930.07293	21450.02145	12870.01287	227370.2274	8580.00858	12870.01287	4290.00429	8580.00858	0
Fusobacterium	0	0	30030.03003	0	0	0	0	0	0	0	8580.00858	0	4290.00429	0	0	0	0	0	0	0	0	0	21450.02145	0	0	0	0	0	0	0	0	17160.01716	17160.01716	17160.01716	0	0	25740.02574	0	8580.00858	0	38610.03861	8580.00858	4290.00429	8580.00858	0	0
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	12870.01287	4290.00429	30030.03003	34320.03432	17160.01716	21450.02145	8580.00858	4290.00429	17160.01716	4290.00429	0	4290.00429	4290.00429	8580.00858
Mitochondria	8580.00858	4290.00429	0	25740.02574	4290.00429	8580.00858	12870.01287	4290.00429	4290.00429	8580.00858	17160.01716	30030.03003	0	8580.00858	21450.02145	64350.06435	17160.01716	12870.01287	21450.02145	244530.2445	0	0	8580.00858	21450.02145	17160.01716	0	4290.00429	0	8580.00858	12870.01287	17160.01716	12870.01287	0	4290.00429	0	0	0	8580.00858	0	0	0	0	0	0	0	0
Distigma	17160.01716	12870.01287	30030.03003	42900.0429	4290.00429	0	64350.06435	38610.03861	4290.00429	38610.03861	94380.09438	90090.09009	17160.01716	8580.00858	34320.03432	12870.01287	12870.01287	47190.04719	34320.03432	38610.03861	0	42900.0429	25740.02574	47190.04719	30030.03003	0	25740.02574	8580.00858	12870.01287	30030.03003	21450.02145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus_2	0	0	0	0	0	0	0	0	0	0	0	12870.01287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	4290.00429	17160.01716	0	4290.00429	8580.00858	12870.01287	0	25740.02574	4290.00429	0	0	0	0
Prevotella_9	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	34320.03432	60060.06006	8580.00858	64350.06435	25740.02574	12870.01287	0	4290.00429	21450.02145	8580.00858	0	30030.03003	0	0
Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34320.03432	12870.01287	0	12870.01287	12870.01287	47190.04719	25740.02574	12870.01287	0	68640.06864	8580.00858	0	4290.00429	21450.02145	0
Holosporaceae	4290.00429	0	0	0	0	0	0	0	0	0	8580.00858	8580.00858	0	0	0	4290.00429	8580.00858	4290.00429	0	0	0	0	0	38610.03861	0	4290.00429	0	0	0	0	4290.00429	0	0	0	0	0	8580.00858	0	0	0	38610.03861	4290.00429	0	0	0	0
Ruminococcaceae_UCG_014	0	0	0	0	0	0	4290.00429	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	4290.00429	0	8580.00858	0	0	0	0	21450.02145	0	12870.01287	0	0	0
Bacillus	0	0	8580.00858	4290.00429	0	4290.00429	4290.00429	0	0	0	8580.00858	4290.00429	0	0	0	0	4290.00429	8580.00858	0	0	0	42900.0429	8580.00858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0
Veillonella	4290.00429	0	4290.00429	8580.00858	0	0	0	4290.00429	4290.00429	0	42900.0429	21450.02145	0	8580.00858	38610.03861	0	0	0	0	4290.00429	0	0	12870.01287	0	0	12870.01287	0	0	0	4290.00429	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0	0	8580.00858	0	12870.01287	0	17160.01716	0	8580.00858	0	0	0	0	0	0	0	0	0	30030.03003	4290.00429	0	0	0	12870.01287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	0	0	12870.01287	4290.00429	4290.00429	8580.00858	0	30030.03003	0	0	0	4290.00429	0
Ruminococcaceae_UCG_010	0	0	0	0	0	0	0	0	0	0	0	25740.02574	0	0	0	21450.02145	0	0	0	34320.03432	0	0	0	0	4290.00429	0	0	0	0	0	0	25740.02574	21450.02145	8580.00858	8580.00858	8580.00858	8580.00858	4290.00429	8580.00858	0	218790.2188	8580.00858	34320.03432	12870.01287	4290.00429	0
Aphagea_fa	0	0	8580.00858	17160.01716	0	0	0	0	0	4290.00429	4290.00429	0	8580.00858	12870.01287	4290.00429	21450.02145	8580.00858	0	0	94380.09438	0	8580.00858	12870.01287	4290.00429	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	0	0	4290.00429	12870.01287	4290.00429	0	0	0	42900.0429	12870.01287	17160.01716	8580.00858	0	0
