function,description
EC:1.1.99.24,Hydroxyacid-oxoacid transhydrogenase
EC:1.1.99.28,Glucose-fructose oxidoreductase
EC:1.1.99.3,Gluconate 2-dehydrogenase (acceptor)
EC:1.1.99.31,(S)-mandelate dehydrogenase
EC:1.10.2.2,Quinol--cytochrome-c reductase
EC:1.10.3.11,Ubiquinol oxidase (non-electrogenic)
EC:1.10.3.12,Menaquinol oxidase (H(+)-transporting)
EC:1.10.3.3,L-ascorbate oxidase
EC:1.10.9.1,Plastoquinol--plastocyanin reductase
EC:1.11.1.1,NADH peroxidase
EC:1.11.1.10,Chloride peroxidase
EC:1.11.1.15,Peroxiredoxin
EC:1.11.1.19,Dye decolorizing peroxidase
EC:1.11.1.21,Catalase peroxidase
EC:1.11.1.5,Cytochrome-c peroxidase
EC:1.11.1.6,Catalase
EC:1.11.1.7,Peroxidase
EC:1.11.1.9,Glutathione peroxidase
EC:1.11.2.4,Fatty-acid peroxygenase
EC:1.12.1.2,Hydrogen dehydrogenase
EC:1.12.1.3,Hydrogen dehydrogenase (NADP(+))
EC:1.12.2.1,Cytochrome-c3 hydrogenase
EC:1.12.5.1,Hydrogen:quinone oxidoreductase
EC:1.12.7.2,Ferredoxin hydrogenase
EC:1.12.98.1,Coenzyme F420 hydrogenase
EC:1.12.98.2,"5,10-methenyltetrahydromethanopterin hydrogenase"
EC:1.12.99.6,Hydrogenase (acceptor)
EC:1.13.11.1,"Catechol 1,2-dioxygenase"
EC:1.13.11.11,"Tryptophan 2,3-dioxygenase"
EC:1.13.11.14,"2,3-dihydroxybenzoate 3,4-dioxygenase"
EC:1.13.11.15,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
EC:1.13.11.16,"3-carboxyethylcatechol 2,3-dioxygenase"
EC:1.13.11.2,"Catechol 2,3-dioxygenase"
EC:1.13.11.20,Cysteine dioxygenase
EC:1.13.11.24,"Quercetin 2,3-dioxygenase"
EC:1.13.11.25,dioxygenase
EC:1.13.11.27,4-hydroxyphenylpyruvate dioxygenase
EC:1.13.11.3,"Protocatechuate 3,4-dioxygenase"
EC:1.13.11.33,Arachidonate 15-lipoxygenase
EC:1.13.11.37,"Hydroxyquinol 1,2-dioxygenase"
EC:1.13.11.4,"Gentisate 1,2-dioxygenase"
EC:1.13.11.41,"2,4'-dihydroxyacetophenone dioxygenase"
EC:1.13.11.46,4-hydroxymandelate synthase
EC:1.13.11.49,Chlorite O(2)-lyase
EC:1.13.11.5,"Homogentisate 1,2-dioxygenase"
EC:1.13.11.52,"Indoleamine 2,3-dioxygenase"
EC:1.13.11.53,Acireductone dioxygenase (Ni(2+)-requiring)
EC:1.13.11.54,Acireductone dioxygenase (Fe(2+)-requiring)
EC:1.13.11.57,Gallate dioxygenase
EC:1.13.11.6,"3-hydroxyanthranilate 3,4-dioxygenase"
EC:1.13.11.66,"Hydroquinone 1,2-dioxygenase"
EC:1.13.11.74,"2-aminophenol 1,6-dioxygenase"
EC:1.13.11.75,"All-trans-8'-apo-beta-carotenal 15,15'-oxygenase"
EC:1.13.11.76,"2-amino-5-chlorophenol 1,6-dioxygenase"
EC:1.13.11.79,"5,6-dimethylbenzimidazole synthase"
EC:1.13.11.8,"Protocatechuate 4,5-dioxygenase"
EC:1.13.11.80,"(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase"
EC:1.13.11.9,"2,5-dihydroxypyridine 5,6-dioxygenase"
EC:1.13.12.16,Nitronate monooxygenase
EC:1.13.12.3,Tryptophan 2-monooxygenase
EC:1.13.12.4,Lactate 2-monooxygenase
EC:1.13.99.1,Inositol oxygenase
EC:1.14.11.1,Gamma-butyrobetaine dioxygenase
EC:1.14.11.16,Peptide-aspartate beta-dioxygenase
EC:1.14.11.17,Taurine dioxygenase
EC:1.14.11.18,Phytanoyl-CoA dioxygenase
EC:1.14.11.2,Procollagen-proline dioxygenase
EC:1.14.11.21,Clavaminate synthase
EC:1.14.11.33,DNA oxidative demethylase
EC:1.14.11.39,L-asparagine oxygenase
EC:1.14.11.47,50S ribosomal protein L16 3-hydroxylase
EC:1.14.12.1,"Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)"
EC:1.14.12.10,"Benzoate 1,2-dioxygenase"
EC:1.14.12.15,"Terephthalate 1,2-dioxygenase"
EC:1.14.12.17,Nitric oxide dioxygenase
EC:1.14.12.19,3-phenylpropanoate dioxygenase
EC:1.14.12.4,3-hydroxy-2-methylpyridinecarboxylate dioxygenase
EC:1.14.12.7,"Phthalate 4,5-dioxygenase"
EC:1.14.13.1,Salicylate 1-monooxygenase
EC:1.14.13.10,"2,6-dihydroxypyridine 3-monooxygenase"
EC:1.14.13.106,Epi-isozizaene 5-monooxygenase
EC:1.14.13.107,"Limonene 1,2-monooxygenase"
EC:1.14.13.113,FAD-dependent urate hydroxylase
EC:1.14.13.114,6-hydroxynicotinate 3-monooxygenase
EC:1.14.13.127,3-(3-hydroxy-phenyl)propanoic acid hydroxylase
EC:1.14.13.129,Beta-carotene 3-hydroxylase
EC:1.14.13.133,Pentalenene oxygenase
EC:1.14.13.141,Cholest-4-en-3-one 26-monooxygenase
EC:1.14.13.142,3-ketosteroid 9-alpha-monooxygenase
EC:1.14.13.148,Trimethylamine monooxygenase
EC:1.14.13.149,"Phenylacetyl-CoA 1,2-epoxidase"
EC:1.14.13.151,Linalool 8-monooxygenase
EC:1.14.13.165,Nitric-oxide synthase (NAD(P)H)
EC:1.14.13.172,Salicylate 5-hydroxylase
EC:1.14.13.2,4-hydroxybenzoate 3-monooxygenase
EC:1.14.13.20,"2,4-dichlorophenol 6-monooxygenase"
EC:1.14.13.200,Tetracenomycin A2 monooxygenase-diooxygenase
EC:1.14.13.22,Cyclohexanone monooxygenase
EC:1.14.13.23,3-hydroxybenzoate 4-monooxygenase
EC:1.14.13.40,Anthraniloyl-CoA monooxygenase
EC:1.14.13.48,(S)-limonene 6-monooxygenase
EC:1.14.13.49,(S)-limonene 7-monooxygenase
EC:1.14.13.50,Pentachlorophenol monooxygenase
EC:1.14.13.59,L-lysine N(6)-monooxygenase (NADPH)
EC:1.14.13.7,Phenol 2-monooxygenase
EC:1.14.13.70,Sterol 14-alpha-demethylase
EC:1.14.13.81,Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
EC:1.14.13.82,Vanillate monooxygenase
EC:1.14.13.83,Precorrin-3B synthase
EC:1.14.13.84,4-hydroxyacetophenone monooxygenase
EC:1.14.13.9,Kynurenine 3-monooxygenase
EC:1.14.13.92,Phenylacetone monooxygenase
EC:1.14.14.1,Unspecific monooxygenase
EC:1.14.14.11,Styrene monooxygenase
EC:1.14.14.12,"3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase"
EC:1.14.14.5,Alkanesulfonate monooxygenase
EC:1.14.14.8,Anthranilate 3-monooxygenase (FAD)
EC:1.14.14.9,4-hydroxyphenylacetate 3-monooxygenase
EC:1.14.15.11,Pentalenic acid synthase
EC:1.14.15.13,Pulcherriminic acid synthase
EC:1.14.15.3,Alkane 1-monooxygenase
EC:1.14.15.7,Choline monooxygenase
EC:1.14.15.9,Spheroidene monooxygenase
EC:1.14.16.1,Phenylalanine 4-monooxygenase
EC:1.14.17.3,Peptidylglycine monooxygenase
EC:1.14.18.1,Tyrosinase
EC:1.14.18.2,CMP-N-acetylneuraminate monooxygenase
EC:1.14.18.3,Methane monooxygenase (particulate)
EC:1.14.18.6,4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
EC:1.14.19.1,Stearoyl-CoA 9-desaturase
EC:1.14.19.2,Stearoyl-[acyl-carrier-protein] 9-desaturase
EC:1.14.19.20,Delta(7)-sterol 5(6)-desaturase
EC:1.14.19.3,Acyl-CoA 6-desaturase
EC:1.14.19.8,Pentalenolactone synthase
EC:1.14.19.9,Tryptophan 7-halogenase
EC:1.14.21.7,Biflaviolin synthase
EC:1.14.21.9,Mycocyclosin synthase
EC:1.14.99.1,Prostaglandin-endoperoxide synthase
EC:1.14.99.29,Deoxyhypusine monooxygenase
EC:1.14.99.39,Ammonia monooxygenase
EC:1.14.99.44,Diapolycopene oxygenase
EC:1.14.99.46,Pyrimidine monooxygenase
EC:1.14.99.48,Heme oxygenase (staphylobilin-producing)
EC:1.14.99.50,Gamma-glutamyl hercynylcysteine S-oxide synthase
EC:1.15.1.1,Superoxide dismutase
EC:1.15.1.2,Superoxide reductase
EC:1.16.1.1,Mercury(II) reductase
EC:1.16.1.3,Aquacobalamin reductase
EC:1.16.1.9,Ferric-chelate reductase (NADPH)
EC:1.16.3.1,Ferroxidase
EC:1.16.3.2,Bacterial non-heme ferritin
EC:1.16.8.1,"Cob(II)yrinic acid a,c-diamide reductase"
EC:1.17.1.1,CDP-4-dehydro-6-deoxyglucose reductase
EC:1.17.1.2,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EC:1.17.1.4,Xanthine dehydrogenase
EC:1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase
EC:1.17.2.1,Nicotinate dehydrogenase (cytochrome)
EC:1.17.3.2,Xanthine oxidase
EC:1.17.4.1,Ribonucleoside-diphosphate reductase
EC:1.17.4.2,Ribonucleoside-triphosphate reductase
EC:1.17.5.1,Phenylacetyl-CoA dehydrogenase
EC:1.17.7.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
EC:1.17.7.3,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
EC:1.17.99.1,4-methylphenol dehydrogenase (hydroxylating)
EC:1.17.99.6,Epoxyqueuosine reductase
EC:1.18.1.1,Rubredoxin--NAD(+) reductase
EC:1.18.1.2,Ferredoxin--NADP(+) reductase
EC:1.18.1.3,Ferredoxin--NAD(+) reductase
EC:1.18.1.7,specific)
EC:1.18.6.1,Nitrogenase
EC:1.2.1.10,Acetaldehyde dehydrogenase (acetylating)
EC:1.2.1.11,Aspartate-semialdehyde dehydrogenase
EC:1.2.1.12,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
EC:1.2.1.16,Succinate-semialdehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.18,Malonate-semialdehyde dehydrogenase (acetylating)
EC:1.2.1.19,Aminobutyraldehyde dehydrogenase
EC:1.2.1.2,Formate dehydrogenase
EC:1.2.1.20,Glutarate-semialdehyde dehydrogenase
EC:1.2.1.21,Glycolaldehyde dehydrogenase
EC:1.2.1.22,Lactaldehyde dehydrogenase
EC:1.2.1.24,Succinate-semialdehyde dehydrogenase (NAD(+))
EC:1.2.1.27,Methylmalonate-semialdehyde dehydrogenase (CoA acylating)
EC:1.2.1.28,Benzaldehyde dehydrogenase (NAD(+))
EC:1.2.1.3,Aldehyde dehydrogenase (NAD(+))
EC:1.2.1.32,Aminomuconate-semialdehyde dehydrogenase
EC:1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
EC:1.2.1.39,Phenylacetaldehyde dehydrogenase
EC:1.2.1.4,Aldehyde dehydrogenase (NADP(+))
EC:1.2.1.41,Glutamate-5-semialdehyde dehydrogenase
EC:1.2.1.43,Formate dehydrogenase (NADP(+))
EC:1.2.1.46,Formaldehyde dehydrogenase
EC:1.2.1.5,Aldehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.54,Gamma-guanidinobutyraldehyde dehydrogenase
EC:1.2.1.58,Phenylglyoxylate dehydrogenase (acylating)
EC:1.2.1.59,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
EC:1.2.1.60,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
EC:1.2.1.68,Coniferyl-aldehyde dehydrogenase
EC:1.2.1.70,Glutamyl-tRNA reductase
EC:1.2.1.71,Succinylglutamate-semialdehyde dehydrogenase
EC:1.2.1.72,Erythrose-4-phosphate dehydrogenase
EC:1.2.1.75,Malonyl CoA reductase (malonate semialdehyde-forming)
EC:1.2.1.76,Succinate-semialdehyde dehydrogenase (acetylating)
EC:1.2.1.77,"3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))"
EC:1.2.1.79,Succinate-semialdehyde dehydrogenase (NADP(+))
EC:1.2.1.8,Betaine-aldehyde dehydrogenase
EC:1.2.1.80,Long-chain acyl-[acyl-carrier-protein] reductase
EC:1.2.1.81,Sulfoacetaldehyde dehydrogenase (acylating)
EC:1.2.1.83,3-succinoylsemialdehyde-pyridine dehydrogenase
EC:1.2.1.85,2-hydroxymuconate-6-semialdehyde dehydrogenase
EC:1.2.1.87,Propanal dehydrogenase (CoA-propanoylating)
EC:1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase
EC:1.2.1.9,Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))
EC:1.2.1.91,"3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
EC:1.2.3.3,Pyruvate oxidase
EC:1.2.4.1,Pyruvate dehydrogenase (acetyl-transferring)
EC:1.2.4.2,Oxoglutarate dehydrogenase (succinyl-transferring)
EC:1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
EC:1.2.5.1,Pyruvate dehydrogenase (quinone)
EC:1.2.7.1,Pyruvate synthase
EC:1.2.7.11,2-oxoacid oxidoreductase (ferredoxin)
EC:1.2.7.3,2-oxoglutarate synthase
EC:1.2.7.4,Carbon-monoxide dehydrogenase (ferredoxin)
EC:1.2.7.5,Aldehyde ferredoxin oxidoreductase
EC:1.2.7.7,3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)
EC:1.2.7.8,Indolepyruvate ferredoxin oxidoreductase
EC:1.2.98.1,Formaldehyde dismutase
EC:1.2.99.2,Carbon-monoxide dehydrogenase (acceptor)
EC:1.2.99.5,Formylmethanofuran dehydrogenase
EC:1.2.99.7,Aldehyde dehydrogenase (FAD-independent)
EC:1.2.99.8,Glyceraldehyde dehydrogenase (FAD-containing)
EC:1.20.1.1,Phosphonate dehydrogenase
EC:1.20.4.1,Arsenate reductase (glutaredoxin)
EC:1.20.4.3,Mycoredoxin
EC:1.20.9.1,Arsenate reductase (azurin)
EC:1.21.4.1,D-proline reductase (dithiol)
EC:1.21.4.2,Glycine reductase
EC:1.21.4.4,Betaine reductase
EC:1.21.98.1,Cyclic dehypoxanthinyl futalosine synthase
EC:1.3.1.1,Dihydrouracil dehydrogenase (NAD(+))
EC:1.3.1.10,"Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)"
EC:1.3.1.101,"2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H)"
EC:1.3.1.104,Enoyl-[acyl-carrier-protein] reductase
EC:1.3.1.106,Cobalt-precorrin-6A reductase
EC:1.3.1.12,Prephenate dehydrogenase
EC:1.3.1.13,Prephenate dehydrogenase (NADP(+))
EC:1.3.1.14,Dihydroorotate dehydrogenase (NAD(+))
EC:1.3.1.20,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
EC:1.3.1.21,7-dehydrocholesterol reductase
EC:1.3.1.22,3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))
EC:1.3.1.24,Biliverdin reductase
EC:1.3.1.25,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"
EC:1.3.1.28,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
EC:1.3.1.31,2-enoate reductase
EC:1.3.1.32,Maleylacetate reductase
EC:1.3.1.33,Protochlorophyllide reductase
EC:1.3.1.34,"2,4-dienoyl-CoA reductase (NADPH)"
EC:1.3.1.43,Arogenate dehydrogenase
EC:1.3.1.44,Trans-2-enoyl-CoA reductase (NAD(+))
EC:1.3.1.45,2'-hydroxyisoflavone reductase
EC:1.3.1.49,"Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase"
EC:1.3.1.53,"(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase"
EC:1.3.1.54,Precorrin-6A reductase
EC:1.3.1.56,"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase"
EC:1.3.1.64,"Phthalate 4,5-cis-dihydrodiol dehydrogenase"
EC:1.3.1.74,2-alkenal reductase (NAD(P)(+))
EC:1.3.1.75,Divinyl chlorophyllide a 8-vinyl-reductase
EC:1.3.1.76,Precorrin-2 dehydrogenase
EC:1.3.1.78,Arogenate dehydrogenase (NADP(+))
EC:1.3.1.83,Geranylgeranyl diphosphate reductase
EC:1.3.1.84,Acrylyl-CoA reductase (NADPH)
EC:1.3.1.85,Crotonyl-CoA carboxylase/reductase
EC:1.3.1.86,Crotonyl-CoA reductase
