#NAME	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B
Romboutsia	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	0	0	0	0	0	0	0	4290.00429	0	0	0	0	42900.0429	12870.01287	30030.03003	17160.01716	17160.01716	12870.01287	21450.02145	8580.00858	4290.00429	145860.1459	0	30030.03003	8580.00858	0	0
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	8580.00858	25740.02574	8580.00858	4290.00429	0	4290.00429	38610.03861	0	8580.00858	34320.03432	0	21450.02145	0	0	4290.00429
Ruminococcaceae	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	111540.1115	0	0	12870.01287	0	0	8580.00858	0	0	0	0	21450.02145	0	17160.01716	0	0	8580.00858	42900.0429	0	0	180180.1802	8580.00858	38610.03861	0	0	0
Roseburia	8580.00858	8580.00858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	30030.03003	0	4290.00429	0	0	8580.00858	0	0	4290.00429	0	4290.00429	0	0	0
Dysgonomonas	4290.00429	38610.03861	0	4290.00429	0	8580.00858	30030.03003	8580.00858	0	0	8580.00858	60060.06006	17160.01716	4290.00429	34320.03432	55770.05577	21450.02145	0	34320.03432	64350.06435	8580.00858	8580.00858	17160.01716	72930.07293	17160.01716	8580.00858	4290.00429	4290.00429	4290.00429	4290.00429	38610.03861	30030.03003	0	0	0	4290.00429	0	4290.00429	0	0	184470.1845	8580.00858	12870.01287	0	4290.00429	0
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120120.1201	42900.0429	107250.1073	42900.0429	158730.1587	128700.1287	197340.1973	72930.07293	25740.02574	128700.1287	4290.00429	12870.01287	55770.05577	34320.03432	12870.01287
Clostridiales_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21450.02145	0	4290.00429	0	0	12870.01287	8580.00858	0	0	42900.0429	8580.00858	4290.00429	8580.00858	0	0
Weissella	0	0	17160.01716	4290.00429	0	4290.00429	0	4290.00429	0	0	17160.01716	17160.01716	0	0	0	12870.01287	34320.03432	8580.00858	21450.02145	0	12870.01287	0	0	4290.00429	8580.00858	4290.00429	0	8580.00858	0	0	0	12870.01287	8580.00858	0	8580.00858	8580.00858	0	21450.02145	4290.00429	0	205920.2059	30030.03003	30030.03003	0	0	0
Ruminococcaceae_UCG_005	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137280.1373	94380.09438	68640.06864	64350.06435	124410.1244	21450.02145	115830.1158	21450.02145	12870.01287	386100.3861	4290.00429	47190.04719	47190.04719	30030.03003	12870.01287
Arcobacter	0	0	0	0	0	0	12870.01287	0	0	0	0	4290.00429	0	12870.01287	0	8580.00858	0	0	0	0	0	0	0	12870.01287	0	0	0	8580.00858	0	0	0	0	0	0	0	17160.01716	21450.02145	0	0	0	171600.1716	25740.02574	17160.01716	8580.00858	4290.00429	0
Corynebacterium_1	0	0	8580.00858	12870.01287	4290.00429	8580.00858	0	30030.03003	0	60060.06006	0	0	0	8580.00858	0	0	0	0	0	47190.04719	0	21450.02145	0	25740.02574	8580.00858	8580.00858	0	0	0	0	0	0	0	0	0	0	21450.02145	0	0	0	68640.06864	0	4290.00429	0	0	0
Acinetobacter	17160.01716	0	4290.00429	0	12870.01287	0	4290.00429	12870.01287	0	0	0	0	0	4290.00429	12870.01287	30030.03003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	38610.03861	12870.01287	12870.01287	30030.03003	8580.00858	8580.00858	8580.00858	0	0	205920.2059	34320.03432	21450.02145	0	4290.00429	0
Burkholderiaceae	0	4290.00429	0	0	0	0	0	0	0	0	17160.01716	0	4290.00429	0	0	25740.02574	0	0	0	0	0	0	21450.02145	4290.00429	0	0	0	0	4290.00429	17160.01716	0	0	0	0	0	8580.00858	0	8580.00858	0	0	64350.06435	17160.01716	0	0	0	0
Gemella	0	64350.06435	12870.01287	0	21450.02145	4290.00429	42900.0429	34320.03432	8580.00858	107250.1073	21450.02145	8580.00858	8580.00858	0	34320.03432	47190.04719	0	12870.01287	0	68640.06864	0	0	0	42900.0429	0	0	4290.00429	0	4290.00429	12870.01287	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21450.02145	38610.03861	17160.01716	4290.00429	8580.00858	17160.01716	8580.00858	21450.02145	0	60060.06006	17160.01716	30030.03003	0	0	0
Vagococcus	0	4290.00429	0	0	0	0	0	0	0	4290.00429	12870.01287	0	0	4290.00429	0	17160.01716	0	0	0	68640.06864	8580.00858	0	0	0	0	8580.00858	0	0	0	4290.00429	0	0	0	0	17160.01716	0	4290.00429	12870.01287	0	0	72930.07293	0	0	0	0	0
Treponema_2	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47190.04719	17160.01716	8580.00858	0	12870.01287	68640.06864	17160.01716	0	0	154440.1544	4290.00429	17160.01716	0	0	8580.00858
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	17160.01716	0	0	0	0	72930.07293	21450.02145	8580.00858	0	4290.00429	0
Euglenida	21450.02145	21450.02145	12870.01287	25740.02574	4290.00429	17160.01716	17160.01716	12870.01287	17160.01716	34320.03432	55770.05577	34320.03432	4290.00429	25740.02574	30030.03003	34320.03432	34320.03432	17160.01716	30030.03003	197340.1973	8580.00858	47190.04719	12870.01287	34320.03432	17160.01716	0	21450.02145	0	8580.00858	17160.01716	17160.01716	21450.02145	4290.00429	0	0	0	0	0	0	0	8580.00858	0	4290.00429	0	0	0
Ruminobacter	0	0	8580.00858	0	0	0	0	12870.01287	0	0	0	0	0	0	0	0	0	0	0	21450.02145	0	0	0	0	0	0	0	0	0	0	0	8580.00858	12870.01287	17160.01716	17160.01716	34320.03432	17160.01716	81510.08151	17160.01716	4290.00429	244530.2445	8580.00858	12870.01287	4290.00429	8580.00858	0
Fusobacterium	0	0	30030.03003	0	0	0	0	0	0	0	8580.00858	0	4290.00429	0	0	0	0	0	0	0	0	0	8580.00858	0	0	0	0	0	0	0	0	12870.01287	25740.02574	30030.03003	0	0	38610.03861	4290.00429	4290.00429	0	30030.03003	4290.00429	0	8580.00858	0	0
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	8580.00858	8580.00858	30030.03003	30030.03003	17160.01716	8580.00858	4290.00429	0	17160.01716	0	0	4290.00429	4290.00429	8580.00858
Mitochondria	8580.00858	4290.00429	0	25740.02574	4290.00429	8580.00858	12870.01287	4290.00429	4290.00429	8580.00858	17160.01716	30030.03003	0	8580.00858	21450.02145	64350.06435	17160.01716	12870.01287	21450.02145	193050.1931	0	0	21450.02145	21450.02145	17160.01716	0	4290.00429	0	8580.00858	17160.01716	17160.01716	12870.01287	0	0	0	0	0	8580.00858	0	0	0	0	4290.00429	0	0	0
Distigma	17160.01716	12870.01287	30030.03003	42900.0429	4290.00429	0	72930.07293	38610.03861	4290.00429	38610.03861	94380.09438	90090.09009	17160.01716	8580.00858	34320.03432	12870.01287	12870.01287	47190.04719	34320.03432	38610.03861	0	42900.0429	25740.02574	47190.04719	30030.03003	0	25740.02574	8580.00858	12870.01287	30030.03003	21450.02145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus_2	0	0	0	0	0	0	0	0	0	0	0	12870.01287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	4290.00429	17160.01716	0	4290.00429	8580.00858	12870.01287	8580.00858	38610.03861	8580.00858	12870.01287	0	0	0
Prevotella_9	0	0	0	0	0	0	0	0	0	0	0	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17160.01716	30030.03003	42900.0429	8580.00858	64350.06435	25740.02574	12870.01287	0	12870.01287	34320.03432	4290.00429	4290.00429	34320.03432	0	0
Faecalibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0	8580.00858	4290.00429	0	30030.03003	0	0	8580.00858	0	0
Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38610.03861	8580.00858	0	12870.01287	12870.01287	42900.0429	25740.02574	8580.00858	0	47190.04719	0	0	4290.00429	21450.02145	0
Holosporaceae	4290.00429	0	0	0	0	0	0	0	0	0	8580.00858	8580.00858	0	0	0	4290.00429	8580.00858	4290.00429	0	0	0	0	0	38610.03861	0	4290.00429	0	0	0	0	4290.00429	0	0	0	0	0	17160.01716	0	0	0	25740.02574	0	0	0	0	0
Ruminococcaceae_UCG_014	0	0	0	0	0	0	4290.00429	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	4290.00429	0	8580.00858	4290.00429	0	0	0	30030.03003	0	17160.01716	0	0	0
Bacillus	0	0	8580.00858	4290.00429	0	4290.00429	4290.00429	0	0	0	4290.00429	4290.00429	0	0	0	0	4290.00429	8580.00858	0	0	0	42900.0429	8580.00858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	0	0	0
Veillonella	4290.00429	0	4290.00429	8580.00858	0	0	0	4290.00429	4290.00429	0	42900.0429	21450.02145	0	8580.00858	38610.03861	0	0	0	0	4290.00429	0	0	12870.01287	0	0	12870.01287	0	0	0	4290.00429	17160.01716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0	0	8580.00858	0	12870.01287	0	17160.01716	0	8580.00858	0	0	0	0	0	0	0	0	0	30030.03003	4290.00429	0	0	0	12870.01287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	4290.00429	0	0	8580.00858	12870.01287	4290.00429	8580.00858	4290.00429	30030.03003	0	0	0	0	0
Ruminococcaceae_UCG_010	0	0	0	0	0	0	0	0	0	0	0	25740.02574	0	0	0	21450.02145	0	0	0	34320.03432	0	0	0	0	4290.00429	0	0	0	0	0	0	25740.02574	30030.03003	4290.00429	8580.00858	12870.01287	12870.01287	4290.00429	12870.01287	0	223080.2231	12870.01287	30030.03003	17160.01716	4290.00429	0
Aphagea_fa	0	0	8580.00858	17160.01716	0	0	0	0	0	21450.02145	4290.00429	0	8580.00858	12870.01287	0	21450.02145	8580.00858	0	0	94380.09438	0	8580.00858	12870.01287	4290.00429	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
